id,host_id,host_name,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,availability_365
21644,82685,Elliott,Manhattan,Harlem,Private room,89,1,1,365
21794,83257,Olan,Manhattan,Chelsea,Private room,98,30,30,364
22911,87773,Shelly,Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,7,139,311
22918,32294,Ssameer Or Trip,Manhattan,Harlem,Private room,60,3,11,219
23135,11481,Annette,Brooklyn,Carroll Gardens,Entire home/apt,175,2,233,342
23501,63318,Meka,Manhattan,Washington Heights,Private room,65,2,68,312
23686,93790,Ann,Manhattan,West Village,Entire home/apt,500,4,46,243
24143,97219,Seth,Brooklyn,Williamsburg,Private room,101,3,335,152
24285,97797,Brenda,Brooklyn,Park Slope,Entire home/apt,220,30,88,9
25235,87773,Shelly,Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,90,162,137
25406,105538,Erik,Brooklyn,Williamsburg,Entire home/apt,80,30,29,222
25696,107628,Dena,Manhattan,Harlem,Private room,100,2,170,346
26012,109589,Jessica,Brooklyn,Gowanus,Entire home/apt,200,30,19,208
26362,59734,Luiz,Manhattan,Hell's Kitchen,Private room,59,2,334,279
26520,51038,Erica,Brooklyn,Clinton Hill,Private room,125,2,19,250
26559,112793,Sally,Manhattan,East Village,Entire home/apt,140,7,12,164
26785,42273,Dani,Brooklyn,South Slope,Entire home/apt,120,30,467,192
26933,72062,Bruce,Manhattan,East Village,Entire home/apt,350,2,7,298
26954,115157,Nimo,Manhattan,Kips Bay,Entire home/apt,199,5,38,260
26969,115307,Alexandra,Brooklyn,Williamsburg,Entire home/apt,325,3,324,107
27006,115560,Stacy,Manhattan,Upper West Side,Entire home/apt,235,6,27,199
27385,72062,Bruce,Manhattan,East Village,Entire home/apt,225,1,115,299
27531,118971,Evelyn,Brooklyn,South Slope,Private room,99,2,354,20
27644,119510,Emma,Manhattan,Harlem,Entire home/apt,170,2,195,318
27659,119588,Vero,Brooklyn,South Slope,Entire home/apt,400,2,16,216
27759,119900,Sylvie,Manhattan,Upper West Side,Entire home/apt,170,7,13,224
27883,120223,Jen,Manhattan,East Village,Entire home/apt,100,4,25,0
28321,65091,Kay,Brooklyn,Prospect-Lefferts Gardens,Private room,75,2,9,324
28396,6197784,Jo,Brooklyn,Williamsburg,Private room,90,1,9,245
28907,124352,Lisa,Manhattan,Upper East Side,Entire home/apt,150,5,21,189
29012,124797,Fernando And Lenin,Manhattan,Washington Heights,Private room,85,15,36,307
29013,35935,Angela,Brooklyn,Bedford-Stuyvesant,Private room,70,3,63,310
29455,126607,Laurine,Manhattan,Harlem,Entire home/apt,120,3,155,213
29628,127608,Chris,Brooklyn,Clinton Hill,Private room,89,3,260,278
29683,125857,Uli,Manhattan,East Village,Entire home/apt,185,5,73,209
30031,129352,Sol,Brooklyn,Greenpoint,Private room,50,3,193,0
30927,120335,Cs,Manhattan,Lower East Side,Entire home/apt,105,3,32,16
31130,117287,Lara,Manhattan,Hell's Kitchen,Private room,130,2,50,234
31555,135619,Tom,Manhattan,West Village,Entire home/apt,115,29,26,12
31902,137292,Sunder,Brooklyn,Flatlands,Private room,77,2,2,178
31994,137814,Waldemar,Brooklyn,Clinton Hill,Private room,76,2,426,275
32023,137974,Khem,Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,3,227,163
32037,116599,Sahr,Brooklyn,Clinton Hill,Private room,135,4,84,365
32100,138579,Ali+Scott,Brooklyn,Greenpoint,Entire home/apt,250,29,3,34
32289,139612,Elisabeth,Brooklyn,Williamsburg,Entire home/apt,199,3,10,280
32331,139874,Sarah,Brooklyn,Cobble Hill,Entire home/apt,140,2,4,0
32363,140025,Fredah,Queens,Flushing,Private room,140,2,1,1
32965,137974,Khem,Brooklyn,Bedford-Stuyvesant,Entire home/apt,115,3,124,170
32969,142833,Katherine,Brooklyn,Williamsburg,Entire home/apt,160,3,11,188
33009,143027,Ming,Brooklyn,Williamsburg,Entire home/apt,195,4,240,214
33014,143048,Paula,Manhattan,East Village,Entire home/apt,195,3,30,248
33223,72014,Lulú,Brooklyn,Williamsburg,Private room,80,3,200,262
34760,149929,Obed,Brooklyn,Fort Greene,Private room,44,8,27,280
35526,120291,Karen,Manhattan,West Village,Private room,156,4,79,307
36121,62165,Michael,Brooklyn,Prospect Heights,Private room,85,15,9,339
36133,142684,White,Brooklyn,Williamsburg,Private room,125,3,155,1
36442,137432,Paz,Brooklyn,Prospect Heights,Entire home/apt,115,15,4,269
36647,157798,Irene,Manhattan,East Harlem,Private room,69,2,34,10
36703,158284,Karene,Manhattan,West Village,Entire home/apt,225,45,134,312
36934,159370,Viviana,Brooklyn,Williamsburg,Entire home/apt,125,6,27,189
38638,92788,Sara,Manhattan,Upper East Side,Entire home/apt,219,4,126,290
38663,165789,Sarah,Brooklyn,Boerum Hill,Entire home/apt,475,3,23,230
39267,168417,Marie,Manhattan,Upper East Side,Entire home/apt,99,1,234,164
39282,168525,Gus,Brooklyn,Williamsburg,Private room,69,4,202,53
39593,110506,Myung,Queens,Sunnyside,Private room,79,30,28,126
39704,170510,Renée,Brooklyn,Bedford-Stuyvesant,Entire home/apt,135,2,309,3
40039,171851,Henry,Brooklyn,DUMBO,Private room,250,3,14,189
40453,174025,Sylvia,Manhattan,Upper East Side,Entire home/apt,250,3,4,365
41348,180083,Syl,Brooklyn,Gowanus,Entire home/apt,250,2,80,0
41513,181167,Lorenzo,Manhattan,Harlem,Entire home/apt,80,3,2,0
42580,137814,Waldemar,Brooklyn,Clinton Hill,Private room,70,2,294,336
42729,11481,Annette,Brooklyn,Carroll Gardens,Entire home/apt,165,2,150,342
42882,185978,Newyorkroomwithaview,Staten Island,St. George,Private room,70,2,166,312
43957,177536,Tessa,Brooklyn,Bushwick,Private room,50,2,47,37
44096,190409,Waundell,Bronx,Highbridge,Private room,40,1,219,353
44161,193360,Young,Brooklyn,Williamsburg,Entire home/apt,150,2,193,177
44212,72062,Bruce,Manhattan,East Village,Private room,125,1,84,310
44221,193722,Coral,Manhattan,Financial District,Entire home/apt,196,3,114,0
44229,181376,Carol,Brooklyn,Fort Greene,Private room,110,2,213,321
44288,193637,Sara,Manhattan,West Village,Entire home/apt,170,3,86,246
44506,126607,Laurine,Manhattan,Harlem,Entire home/apt,165,3,80,231
45393,201297,Myrna,Manhattan,West Village,Entire home/apt,150,26,38,225
45542,202249,Campbell,Manhattan,Harlem,Entire home/apt,100,2,18,0
45556,67778,Doug,Brooklyn,Fort Greene,Private room,65,2,206,0
45910,204539,Mark,Queens,Ridgewood,Entire home/apt,350,8,10,365
45936,867225,Rahul,Manhattan,Morningside Heights,Private room,99,4,122,233
45940,204724,Miyoung,Brooklyn,Williamsburg,Entire home/apt,200,4,33,1
46544,8198,Monica,Brooklyn,Park Slope,Entire home/apt,150,5,52,18
46723,209460,Marylyn,Brooklyn,Bedford-Stuyvesant,Private room,90,3,126,343
46911,210746,Kathleen R.,Brooklyn,Prospect Heights,Private room,120,3,51,250
47199,212722,Teresa,Manhattan,Upper East Side,Private room,75,3,199,326
47362,214148,Robert,Brooklyn,Bedford-Stuyvesant,Entire home/apt,175,26,30,364
47370,214287,Alex,Manhattan,Chelsea,Entire home/apt,125,3,3,0
47926,218404,Claudia,Manhattan,Hell's Kitchen,Entire home/apt,275,1,41,299
48719,221873,Shane,Manhattan,Lower East Side,Entire home/apt,299,2,109,207
50447,9744,Laurie,Brooklyn,South Slope,Entire home/apt,135,5,151,162
51485,236655,Erina,Manhattan,Lower East Side,Private room,83,1,285,7
51572,237329,Lee,Manhattan,Chelsea,Private room,123,1,375,328
51850,27848,Jullett,Queens,Jamaica,Private room,55,2,52,365
53137,240360,Marlaine,Manhattan,Hell's Kitchen,Entire home/apt,195,5,10,0
53196,247432,Charlotte,Brooklyn,Bedford-Stuyvesant,Private room,80,2,11,0
53469,204539,Mark,Queens,Middle Village,Entire home/apt,98,30,33,240
53470,204539,Mark,Queens,Ridgewood,Private room,140,7,6,365
53477,204539,Mark,Queens,Middle Village,Entire home/apt,265,7,38,365
54158,10889,Bob,Brooklyn,Williamsburg,Entire home/apt,249,2,358,164
54453,255583,Anka,Manhattan,Hell's Kitchen,Shared room,105,6,10,363
54508,210746,Kathleen R.,Brooklyn,Prospect Heights,Private room,100,2,226,250
54544,256161,Wayne,Manhattan,Harlem,Entire home/apt,121,1,104,247
54626,190409,Waundell,Bronx,Highbridge,Private room,45,1,138,323
54860,258164,Jenny,Manhattan,East Harlem,Private room,100,5,204,192
55467,260709,Paul,Brooklyn,Williamsburg,Entire home/apt,140,2,253,125
55498,262138,Tami,Brooklyn,Bedford-Stuyvesant,Private room,71,2,23,91
55668,88209,Jason,Manhattan,NoHo,Private room,130,2,115,75
55737,263414,Pete,Manhattan,West Village,Entire home/apt,199,5,129,286
55959,168525,Gus,Brooklyn,Williamsburg,Private room,69,4,82,60
55982,264928,Sally,Brooklyn,Fort Greene,Private room,68,3,37,0
56467,267593,Leonardo,Manhattan,East Village,Entire home/apt,130,1,204,192
56525,268014,Alex,Brooklyn,Greenpoint,Entire home/apt,195,2,69,58
56859,256161,Wayne,Manhattan,Harlem,Private room,64,1,192,245
57166,272006,Vasili,Queens,Ditmars Steinway,Entire home/apt,140,2,17,292
57297,199392,S.M.,Brooklyn,Cobble Hill,Entire home/apt,159,2,222,279
57468,239208,Ori,Manhattan,East Village,Entire home/apt,189,3,205,0
57618,274557,Ana,Manhattan,Hell's Kitchen,Entire home/apt,250,3,94,3
57740,275459,I,Manhattan,East Village,Entire home/apt,239,3,7,351
57754,275578,R,Manhattan,Flatiron District,Entire home/apt,305,2,108,201
57874,276291,Simon,Manhattan,Harlem,Entire home/apt,155,3,222,232
58059,277379,Agnes,Manhattan,Harlem,Private room,60,1,458,258
58062,277394,Linda,Brooklyn,Windsor Terrace,Private room,135,2,21,272
58467,279797,Dave,Manhattan,Roosevelt Island,Private room,120,7,17,341
59014,282927,Drica,Manhattan,Lower East Side,Entire home/apt,150,3,41,244
59121,204539,Mark,Queens,Ridgewood,Entire home/apt,140,14,1,365
59642,274782,Betty,Brooklyn,Greenpoint,Entire home/apt,135,2,69,12
59709,186084,Ricardo & Ashlie,Manhattan,Chinatown,Entire home/apt,250,4,18,265
59855,288031,Leslie,Manhattan,Midtown,Entire home/apt,250,30,82,0
60164,289653,Harrison,Manhattan,SoHo,Entire home/apt,500,4,94,329
60457,99212,Jessica,Manhattan,Greenwich Village,Entire home/apt,225,5,10,91
60611,292204,Blanca,Manhattan,East Harlem,Entire home/apt,125,28,183,365
60666,256161,Wayne,Manhattan,Harlem,Private room,92,1,189,253
60673,249372,Cynthia,Manhattan,Harlem,Private room,175,2,1,365
60680,292630,Mich,Manhattan,East Village,Entire home/apt,99,2,127,320
60794,293394,Rachel,Manhattan,Upper West Side,Entire home/apt,195,4,4,0
60948,126607,Laurine,Manhattan,East Harlem,Entire home/apt,140,3,135,192
61167,295760,Greta,Manhattan,Little Italy,Entire home/apt,135,2,21,0
61224,291112,Frank,Manhattan,Chelsea,Entire home/apt,500,2,35,348
61406,297176,Bethania,Manhattan,Harlem,Private room,80,14,10,0
61492,297769,Tunji,Manhattan,Chinatown,Private room,120,4,171,353
61509,23619,Anna/Fonzy,Manhattan,Midtown,Entire home/apt,110,200,92,140
62095,281764,Colette&Sean,Brooklyn,East Flatbush,Entire home/apt,65,3,238,2
62427,303882,Brie,Manhattan,East Village,Entire home/apt,130,50,56,56
62430,197755,Sheila,Brooklyn,Bushwick,Entire home/apt,99,3,111,68
62452,303939,Lissette,Staten Island,Tompkinsville,Private room,36,2,193,360
62461,303939,Lissette,Staten Island,Tompkinsville,Private room,37,2,147,0
62787,303939,Lissette,Staten Island,Tompkinsville,Private room,37,2,177,320
62891,306545,Olivia,Manhattan,East Village,Entire home/apt,175,3,185,326
62903,306605,Daniel,Manhattan,Chelsea,Entire home/apt,205,9,62,76
62925,306739,Maya,Brooklyn,Greenpoint,Entire home/apt,285,3,124,279
63299,308875,Scott,Brooklyn,Williamsburg,Private room,59,2,181,15
63320,303939,Lissette,Staten Island,Tompkinsville,Private room,36,2,333,340
63360,307962,Dennis & Naoko,Queens,Astoria,Entire home/apt,99,5,441,226
63546,308652,Antonín,Brooklyn,Kensington,Private room,39,1,45,365
63573,310458,Emily,Brooklyn,Park Slope,Private room,60,14,9,0
63610,310670,Vie,Bronx,Eastchester,Entire home/apt,105,2,38,365
63657,170510,Renée,Brooklyn,Bedford-Stuyvesant,Entire home/apt,135,2,248,11
63693,306545,Olivia,Manhattan,East Village,Entire home/apt,390,5,143,316
63719,311286,Helene,Brooklyn,Bedford-Stuyvesant,Private room,70,3,36,281
64000,312722,Kristian & Di,Brooklyn,Williamsburg,Private room,60,17,14,362
64107,313317,Niya,Brooklyn,Crown Heights,Private room,100,3,279,301
64277,311286,Helene,Brooklyn,Bedford-Stuyvesant,Private room,70,4,18,189
64314,314256,Debbie,Brooklyn,Crown Heights,Private room,110,6,50,0
64365,314582,Anthony,Brooklyn,Crown Heights,Private room,60,2,227,287
64707,7310,Tilly,Manhattan,Little Italy,Entire home/apt,90,14,1,14
64837,46978,Edward,Manhattan,East Village,Private room,68,2,203,86
65019,317809,Claire,Manhattan,Upper West Side,Entire home/apt,115,2,210,261
65268,319092,Juhli,Brooklyn,Bedford-Stuyvesant,Private room,75,5,64,68
65562,320450,Mary D,Manhattan,East Village,Entire home/apt,129,7,5,231
65615,320761,Valerie,Brooklyn,Williamsburg,Entire home/apt,130,10,49,152
65660,320538,Larissa,Brooklyn,Williamsburg,Entire home/apt,95,4,132,46
65813,321756,Eric,Manhattan,Harlem,Private room,75,3,20,364
65834,321934,Jessica,Brooklyn,Park Slope,Entire home/apt,175,2,11,246
66008,322884,Melissa,Brooklyn,Carroll Gardens,Entire home/apt,190,3,51,288
66026,322716,Alex,Brooklyn,Crown Heights,Private room,49,21,15,331
66251,324460,Samir,Manhattan,East Village,Entire home/apt,212,3,67,51
66275,314941,Tony,Manhattan,Lower East Side,Private room,95,1,109,364
66451,325389,Luis Fernando,Brooklyn,Williamsburg,Entire home/apt,140,2,9,254
66718,136227,Henning,Manhattan,Harlem,Entire home/apt,135,6,187,189
66741,327673,Stefano,Brooklyn,Park Slope,Entire home/apt,150,2,214,263
66974,329436,Jana,Brooklyn,Gowanus,Entire home/apt,190,3,69,258
67288,101597,Per,Manhattan,East Harlem,Entire home/apt,124,28,22,103
67299,330347,Adrienne,Brooklyn,Williamsburg,Entire home/apt,135,30,56,42
67397,332189,Elise,Manhattan,Morningside Heights,Private room,122,3,93,246
68099,323517,Deda,Manhattan,Upper West Side,Private room,109,1,104,364
68305,338454,Share,Manhattan,Harlem,Private room,85,30,64,318
68403,240427,Naimah,Brooklyn,Bedford-Stuyvesant,Entire home/apt,145,3,127,72
68735,342054,Violetta,Manhattan,Upper West Side,Entire home/apt,195,11,30,249
68765,282655,Jenna,Brooklyn,Carroll Gardens,Entire home/apt,250,2,106,272
68900,343250,Jason,Brooklyn,Greenpoint,Private room,125,3,6,325
68974,281229,Alicia,Manhattan,Little Italy,Entire home/apt,575,2,191,298
69894,352168,Silvia,Manhattan,Upper West Side,Entire home/apt,150,30,48,35
69921,155689,Joab,Brooklyn,Bushwick,Private room,70,5,47,203
70095,353965,Mary And Geoff,Manhattan,Inwood,Private room,90,2,120,132
70128,354330,Eyal,Manhattan,East Village,Private room,65,3,52,5
70609,72062,Bruce,Manhattan,East Village,Entire home/apt,500,2,48,297
71010,361855,Kurt,Manhattan,Washington Heights,Entire home/apt,250,3,32,276
71248,363834,Jennifer,Manhattan,Chinatown,Entire home/apt,125,25,43,102
71366,364955,Ruperto,Manhattan,West Village,Entire home/apt,200,30,39,251
71384,365153,Ben,Brooklyn,Greenpoint,Entire home/apt,229,1,50,188
71812,369015,Thai,Bronx,Kingsbridge,Entire home/apt,90,30,4,346
72190,373085,Hudson,Manhattan,Upper West Side,Entire home/apt,110,13,38,0
72265,340692,Vanessa,Brooklyn,Greenpoint,Private room,59,3,29,15
74073,211877,Daniel,Brooklyn,Williamsburg,Entire home/apt,195,4,59,71
74240,389924,Patty,Brooklyn,Williamsburg,Entire home/apt,169,1,68,215
74333,331328,Amir,Manhattan,East Harlem,Entire home/apt,113,14,26,253
74404,391325,G & S,Manhattan,Harlem,Entire home/apt,250,14,31,78
74680,265109,Nazleen,Queens,Astoria,Entire home/apt,115,2,198,257
74860,394752,Allison,Brooklyn,Greenpoint,Private room,55,2,1,0
75193,308875,Scott,Brooklyn,Williamsburg,Private room,69,2,220,8
75635,401696,Patricia,Manhattan,Lower East Side,Entire home/apt,150,3,286,191
76761,118971,Evelyn,Brooklyn,South Slope,Entire home/apt,169,2,398,182
77765,417504,The Box House Hotel,Brooklyn,Greenpoint,Private room,179,3,36,79
77936,134355,Moss Owen,Manhattan,Hell's Kitchen,Private room,150,3,36,49
78919,422561,Nancy,Brooklyn,Boerum Hill,Entire home/apt,135,4,6,0
79067,425506,Bliss,Brooklyn,Clinton Hill,Entire home/apt,350,6,14,156
79782,430188,Pam,Brooklyn,Williamsburg,Private room,120,14,76,343
80493,434987,Jennifer,Manhattan,East Village,Private room,71,2,182,200
80684,417504,The Box House Hotel,Brooklyn,Greenpoint,Private room,349,3,8,60
80700,417504,The Box House Hotel,Brooklyn,Greenpoint,Private room,349,3,7,60
80924,438133,Ellis,Brooklyn,Park Slope,Entire home/apt,165,30,34,189
81739,417504,The Box House Hotel,Brooklyn,Greenpoint,Private room,249,3,2,60
82549,448312,Christopher,Brooklyn,Brooklyn Heights,Private room,100,3,66,0
82550,448312,Christopher,Brooklyn,Brooklyn Heights,Entire home/apt,200,3,80,106
82638,449787,Sarah,Manhattan,East Village,Entire home/apt,169,4,240,276
82928,451545,Ruthven,Brooklyn,Bedford-Stuyvesant,Entire home/apt,185,3,46,248
83243,453519,Julian,Brooklyn,Bushwick,Entire home/apt,65,2,228,194
83446,454756,Leslie,Brooklyn,Fort Greene,Entire home/apt,130,35,5,135
83722,456638,Sophie,Brooklyn,Williamsburg,Entire home/apt,199,30,8,30
83847,410094,Yvette,Manhattan,East Village,Entire home/apt,225,2,33,0
84010,417504,The Box House Hotel,Brooklyn,Greenpoint,Private room,179,3,13,81
84059,459054,Famous,Brooklyn,Crown Heights,Entire home/apt,150,5,5,0
84659,462776,Kyle,Manhattan,East Village,Entire home/apt,139,1,388,142
84905,464506,Ange,Manhattan,Two Bridges,Private room,95,3,223,60
85094,322716,Alex,Brooklyn,Crown Heights,Entire home/apt,79,15,11,179
86215,327900,T,Manhattan,Lower East Side,Entire home/apt,150,2,151,52
89621,209460,Marylyn,Brooklyn,Bedford-Stuyvesant,Entire home/apt,90,3,218,324
93313,25183,Nathalie,Brooklyn,Bedford-Stuyvesant,Entire home/apt,120,2,75,237
94035,35375,Savannah,Queens,Astoria,Private room,80,1,42,365
94477,478395,Jason,Brooklyn,Bedford-Stuyvesant,Entire home/apt,175,2,370,204
94783,473113,Keishera,Brooklyn,Crown Heights,Entire home/apt,120,5,104,272
95747,509341,Tessa,Brooklyn,Williamsburg,Entire home/apt,140,7,13,0
95883,509918,Eduardo,Brooklyn,Bedford-Stuyvesant,Entire home/apt,200,5,4,9
96471,116599,Sahr,Brooklyn,Clinton Hill,Private room,165,4,11,365
98330,31374,Shon,Manhattan,Kips Bay,Entire home/apt,125,4,1,181
98663,520279,Peter Michael,Manhattan,Chelsea,Entire home/apt,130,30,19,189
99070,522065,Liz And Melissa,Manhattan,East Harlem,Shared room,65,7,131,0
99085,522164,Wanda,Brooklyn,Fort Greene,Entire home/apt,123,30,15,189
100002,523218,Giorgio,Manhattan,Washington Heights,Private room,67,2,136,296
100186,526805,Mi,Brooklyn,Gowanus,Entire home/apt,130,7,98,35
101053,530032,Lee And Tara,Brooklyn,Williamsburg,Private room,100,3,31,0
102995,178043,Chas,Manhattan,Upper West Side,Entire home/apt,212,21,45,35
103161,465278,Ade,Brooklyn,Williamsburg,Entire home/apt,190,3,124,359
103311,417504,The Box House Hotel,Brooklyn,Greenpoint,Private room,599,3,9,60
103806,251176,Jason,Manhattan,East Village,Entire home/apt,249,5,166,365
105469,547386,Michelle,Queens,Rockaway Beach,Private room,70,27,13,335
105510,322716,Alex,Brooklyn,Crown Heights,Entire home/apt,100,30,15,282
106363,551055,Alicia,Manhattan,Harlem,Private room,60,3,380,247
106647,552679,Olivia,Brooklyn,Bedford-Stuyvesant,Entire home/apt,135,2,86,102
107630,306739,Maya,Brooklyn,Greenpoint,Entire home/apt,175,3,248,274
107895,3088389,Kai,Manhattan,Upper West Side,Entire home/apt,120,5,49,201
