id,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,availability_365,
12299,Brooklyn,South Slope,Entire home/apt,120,3,345,
12303,Brooklyn,Fort Greene,Private room,120,7,311,
12318,Manhattan,Upper West Side,Private room,135,4,273,
12343,Manhattan,Harlem,Entire home/apt,150,7,309,
12627,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,150,29,95,
12937,Queens,Long Island City,Private room,130,3,215,
12940,Brooklyn,Bedford-Stuyvesant,Entire home/apt,110,7,265,
13050,Brooklyn,Bedford-Stuyvesant,Entire home/apt,115,3,0,
13394,Brooklyn,Fort Greene,Private room,80,3,192,
13808,Brooklyn,Bedford-Stuyvesant,Private room,80,1,251,
14287,Manhattan,Upper West Side,Entire home/apt,151,2,302,
14290,Brooklyn,Williamsburg,Entire home/apt,228,3,140,
14314,Brooklyn,Greenpoint,Entire home/apt,144,2,234,
14322,Manhattan,Kips Bay,Entire home/apt,200,7,257,
14377,Brooklyn,Williamsburg,Entire home/apt,150,30,30,
14991,Manhattan,Lower East Side,Private room,110,5,301,
15220,Manhattan,Hell's Kitchen,Private room,69,2,294,
15338,Brooklyn,Greenpoint,Private room,49,4,320,
15341,Manhattan,SoHo,Entire home/apt,180,30,154,
15385,Brooklyn,Williamsburg,Private room,80,2,263,
15396,Manhattan,Chelsea,Entire home/apt,375,180,180,
15711,Manhattan,Upper East Side,Entire home/apt,250,2,231,
16326,Brooklyn,Prospect Heights,Entire home/apt,200,30,297,
16338,Brooklyn,Clinton Hill,Private room,55,7,292,
16421,Manhattan,Hell's Kitchen,Private room,52,30,191,
16458,Brooklyn,Park Slope,Entire home/apt,225,3,0,
16580,Manhattan,East Village,Private room,80,1,72,
16595,Brooklyn,Williamsburg,Entire home/apt,275,1,362,
16821,Manhattan,East Village,Private room,99,1,336,
16974,Manhattan,East Harlem,Entire home/apt,225,4,215,
17037,Manhattan,East Village,Entire home/apt,230,9,116,
17092,Manhattan,Hell's Kitchen,Private room,51,7,88,
17693,Manhattan,Washington Heights,Private room,65,2,336,
17747,Brooklyn,Clinton Hill,Private room,105,2,304,
18127,Manhattan,East Village,Entire home/apt,190,5,224,
18152,Manhattan,Upper East Side,Private room,200,1,322,
18198,Queens,Woodside,Private room,70,30,324,
18590,Brooklyn,Fort Greene,Private room,95,3,132,
18728,Manhattan,Chelsea,Private room,150,3,295,
18764,Brooklyn,Williamsburg,Private room,145,3,238,
19159,Manhattan,Harlem,Entire home/apt,110,31,209,
19169,Manhattan,Lower East Side,Entire home/apt,285,5,328,
19282,Brooklyn,Flatbush,Entire home/apt,130,6,38,
19319,Manhattan,Lower East Side,Private room,94,30,188,
19601,Brooklyn,Brooklyn Heights,Entire home/apt,800,1,7,
19812,Brooklyn,Williamsburg,Entire home/apt,105,3,272,
20299,Manhattan,East Village,Private room,60,3,26,
20300,Manhattan,East Village,Private room,50,1,0,
20611,Brooklyn,Williamsburg,Private room,85,3,288,
20724,Brooklyn,Bushwick,Private room,65,4,317,
20734,Brooklyn,Prospect Heights,Entire home/apt,131,4,207,
20755,Brooklyn,Clinton Hill,Private room,98,7,185,
20853,Brooklyn,Prospect Heights,Entire home/apt,250,7,158,
20913,Brooklyn,Williamsburg,Entire home/apt,100,5,0,
21293,Brooklyn,Bushwick,Entire home/apt,105,3,9,
21456,Manhattan,Upper West Side,Entire home/apt,140,3,198,
21644,Manhattan,Harlem,Private room,89,1,365,
21794,Manhattan,Chelsea,Private room,98,30,364,
22911,Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,7,311,
22918,Manhattan,Harlem,Private room,60,3,219,
23135,Brooklyn,Carroll Gardens,Entire home/apt,175,2,342,
23501,Manhattan,Washington Heights,Private room,65,2,312,
23686,Manhattan,West Village,Entire home/apt,500,4,243,
24143,Brooklyn,Williamsburg,Private room,101,3,152,
24285,Brooklyn,Park Slope,Entire home/apt,220,30,9,
25235,Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,90,137,
25406,Brooklyn,Williamsburg,Entire home/apt,80,30,222,
25696,Manhattan,Harlem,Private room,100,2,346,
26012,Brooklyn,Gowanus,Entire home/apt,200,30,208,
26362,Manhattan,Hell's Kitchen,Private room,59,2,279,
26520,Brooklyn,Clinton Hill,Private room,125,2,250,
26559,Manhattan,East Village,Entire home/apt,140,7,164,
26785,Brooklyn,South Slope,Entire home/apt,120,30,192,
26933,Manhattan,East Village,Entire home/apt,350,2,298,
26954,Manhattan,Kips Bay,Entire home/apt,199,5,260,
26969,Brooklyn,Williamsburg,Entire home/apt,325,3,107,
27006,Manhattan,Upper West Side,Entire home/apt,235,6,199,
27385,Manhattan,East Village,Entire home/apt,225,1,299,
27531,Brooklyn,South Slope,Private room,99,2,20,
27644,Manhattan,Harlem,Entire home/apt,170,2,318,
27659,Brooklyn,South Slope,Entire home/apt,400,2,216,
27759,Manhattan,Upper West Side,Entire home/apt,170,7,224,
27883,Manhattan,East Village,Entire home/apt,100,4,0,
28321,Brooklyn,Prospect-Lefferts Gardens,Private room,75,2,324,
28396,Brooklyn,Williamsburg,Private room,90,1,245,
28907,Manhattan,Upper East Side,Entire home/apt,150,5,189,
29012,Manhattan,Washington Heights,Private room,85,15,307,
29013,Brooklyn,Bedford-Stuyvesant,Private room,70,3,310,
29455,Manhattan,Harlem,Entire home/apt,120,3,213,
29628,Brooklyn,Clinton Hill,Private room,89,3,278,
29683,Manhattan,East Village,Entire home/apt,185,5,209,
30031,Brooklyn,Greenpoint,Private room,50,3,0,
30927,Manhattan,Lower East Side,Entire home/apt,105,3,16,
31130,Manhattan,Hell's Kitchen,Private room,130,2,234,
31555,Manhattan,West Village,Entire home/apt,115,29,12,
31902,Brooklyn,Flatlands,Private room,77,2,178,
31994,Brooklyn,Clinton Hill,Private room,76,2,275,
32023,Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,3,163,
32037,Brooklyn,Clinton Hill,Private room,135,4,365,
32100,Brooklyn,Greenpoint,Entire home/apt,250,29,34,
32289,Brooklyn,Williamsburg,Entire home/apt,199,3,280,
32331,Brooklyn,Cobble Hill,Entire home/apt,140,2,0,
32363,Queens,Flushing,Private room,140,2,1,
32965,Brooklyn,Bedford-Stuyvesant,Entire home/apt,115,3,170,
32969,Brooklyn,Williamsburg,Entire home/apt,160,3,188,
33009,Brooklyn,Williamsburg,Entire home/apt,195,4,214,
33014,Manhattan,East Village,Entire home/apt,195,3,248,
33223,Brooklyn,Williamsburg,Private room,80,3,262,
34760,Brooklyn,Fort Greene,Private room,44,8,280,
35526,Manhattan,West Village,Private room,156,4,307,
36121,Brooklyn,Prospect Heights,Private room,85,15,339,
36133,Brooklyn,Williamsburg,Private room,125,3,1,
36442,Brooklyn,Prospect Heights,Entire home/apt,115,15,269,
36647,Manhattan,East Harlem,Private room,69,2,10,
36703,Manhattan,West Village,Entire home/apt,225,45,312,
36934,Brooklyn,Williamsburg,Entire home/apt,125,6,189,
38638,Manhattan,Upper East Side,Entire home/apt,219,4,290,
38663,Brooklyn,Boerum Hill,Entire home/apt,475,3,230,
39267,Manhattan,Upper East Side,Entire home/apt,99,1,164,
39282,Brooklyn,Williamsburg,Private room,69,4,53,
39593,Queens,Sunnyside,Private room,79,30,126,
39704,Brooklyn,Bedford-Stuyvesant,Entire home/apt,135,2,3,
40039,Brooklyn,DUMBO,Private room,250,3,189,
40453,Manhattan,Upper East Side,Entire home/apt,250,3,365,
41348,Brooklyn,Gowanus,Entire home/apt,250,2,0,
41513,Manhattan,Harlem,Entire home/apt,80,3,0,
42580,Brooklyn,Clinton Hill,Private room,70,2,336,
42729,Brooklyn,Carroll Gardens,Entire home/apt,165,2,342,
42882,Staten Island,St. George,Private room,70,2,312,
43957,Brooklyn,Bushwick,Private room,50,2,37,
44096,Bronx,Highbridge,Private room,40,1,353,
44161,Brooklyn,Williamsburg,Entire home/apt,150,2,177,
44212,Manhattan,East Village,Private room,125,1,310,
44221,Manhattan,Financial District,Entire home/apt,196,3,0,
44229,Brooklyn,Fort Greene,Private room,110,2,321,
44288,Manhattan,West Village,Entire home/apt,170,3,246,
44506,Manhattan,Harlem,Entire home/apt,165,3,231,
45393,Manhattan,West Village,Entire home/apt,150,26,225,
45542,Manhattan,Harlem,Entire home/apt,100,2,0,
45556,Brooklyn,Fort Greene,Private room,65,2,0,
45910,Queens,Ridgewood,Entire home/apt,350,8,365,
45936,Manhattan,Morningside Heights,Private room,99,4,233,
45940,Brooklyn,Williamsburg,Entire home/apt,200,4,1,
46544,Brooklyn,Park Slope,Entire home/apt,150,5,18,
46723,Brooklyn,Bedford-Stuyvesant,Private room,90,3,343,
46911,Brooklyn,Prospect Heights,Private room,120,3,250,
47199,Manhattan,Upper East Side,Private room,75,3,326,
47362,Brooklyn,Bedford-Stuyvesant,Entire home/apt,175,26,364,
47370,Manhattan,Chelsea,Entire home/apt,125,3,0,
47926,Manhattan,Hell's Kitchen,Entire home/apt,275,1,299,
48719,Manhattan,Lower East Side,Entire home/apt,299,2,207,
51485,Manhattan,Lower East Side,Private room,83,1,7,
51572,Manhattan,Chelsea,Private room,123,1,328,
51850,Queens,Jamaica,Private room,55,2,365,
53137,Manhattan,Hell's Kitchen,Entire home/apt,195,5,0,
53196,Brooklyn,Bedford-Stuyvesant,Private room,80,2,0,
53469,Queens,Middle Village,Entire home/apt,98,30,240,
53470,Queens,Ridgewood,Private room,140,7,365,
53477,Queens,Middle Village,Entire home/apt,265,7,365,
54158,Brooklyn,Williamsburg,Entire home/apt,249,2,164,
54453,Manhattan,Hell's Kitchen,Shared room,105,6,363,
54508,Brooklyn,Prospect Heights,Private room,100,2,250,
54544,Manhattan,Harlem,Entire home/apt,121,1,247,
54626,Bronx,Highbridge,Private room,45,1,323,
54860,Manhattan,East Harlem,Private room,100,5,192,
55467,Brooklyn,Williamsburg,Entire home/apt,140,2,125,
55498,Brooklyn,Bedford-Stuyvesant,Private room,71,2,91,
55668,Manhattan,NoHo,Private room,130,2,75,
55737,Manhattan,West Village,Entire home/apt,199,5,286,
55959,Brooklyn,Williamsburg,Private room,69,4,60,
55982,Brooklyn,Fort Greene,Private room,68,3,0,
56467,Manhattan,East Village,Entire home/apt,130,1,192,
56525,Brooklyn,Greenpoint,Entire home/apt,195,2,58,
56859,Manhattan,Harlem,Private room,64,1,245,
57166,Queens,Ditmars Steinway,Entire home/apt,140,2,292,
57297,Brooklyn,Cobble Hill,Entire home/apt,159,2,279,
57468,Manhattan,East Village,Entire home/apt,189,3,0,
57618,Manhattan,Hell's Kitchen,Entire home/apt,250,3,3,
57740,Manhattan,East Village,Entire home/apt,239,3,351,
57754,Manhattan,Flatiron District,Entire home/apt,305,2,201,
57874,Manhattan,Harlem,Entire home/apt,155,3,232,
58059,Manhattan,Harlem,Private room,60,1,258,
58062,Brooklyn,Windsor Terrace,Private room,135,2,272,
58467,Manhattan,Roosevelt Island,Private room,120,7,341,
59014,Manhattan,Lower East Side,Entire home/apt,150,3,244,
59121,Queens,Ridgewood,Entire home/apt,140,14,365,
59642,Brooklyn,Greenpoint,Entire home/apt,135,2,12,
59709,Manhattan,Chinatown,Entire home/apt,250,4,265,
59855,Manhattan,Midtown,Entire home/apt,250,30,0,
60164,Manhattan,SoHo,Entire home/apt,500,4,329,
60457,Manhattan,Greenwich Village,Entire home/apt,225,5,91,
60611,Manhattan,East Harlem,Entire home/apt,125,28,365,
60666,Manhattan,Harlem,Private room,92,1,253,
60673,Manhattan,Harlem,Private room,175,2,365,
60680,Manhattan,East Village,Entire home/apt,99,2,320,
60794,Manhattan,Upper West Side,Entire home/apt,195,4,0,
60948,Manhattan,East Harlem,Entire home/apt,140,3,192,
61167,Manhattan,Little Italy,Entire home/apt,135,2,0,
61224,Manhattan,Chelsea,Entire home/apt,500,2,348,
61406,Manhattan,Harlem,Private room,80,14,0,
61492,Manhattan,Chinatown,Private room,120,4,353,
61509,Manhattan,Midtown,Entire home/apt,110,200,140,
62095,Brooklyn,East Flatbush,Entire home/apt,65,3,2,
62427,Manhattan,East Village,Entire home/apt,130,50,56,
62430,Brooklyn,Bushwick,Entire home/apt,99,3,68,
62452,Staten Island,Tompkinsville,Private room,36,2,360,
62461,Staten Island,Tompkinsville,Private room,37,2,0,
62787,Staten Island,Tompkinsville,Private room,37,2,320,
62891,Manhattan,East Village,Entire home/apt,175,3,326,
62903,Manhattan,Chelsea,Entire home/apt,205,9,76,
62925,Brooklyn,Greenpoint,Entire home/apt,285,3,279,
63299,Brooklyn,Williamsburg,Private room,59,2,15,
63320,Staten Island,Tompkinsville,Private room,36,2,340,
63360,Queens,Astoria,Entire home/apt,99,5,226,
63546,Brooklyn,Kensington,Private room,39,1,365,
63573,Brooklyn,Park Slope,Private room,60,14,0,
63610,Bronx,Eastchester,Entire home/apt,105,2,365,
63657,Brooklyn,Bedford-Stuyvesant,Entire home/apt,135,2,11,
63693,Manhattan,East Village,Entire home/apt,390,5,316,
63719,Brooklyn,Bedford-Stuyvesant,Private room,70,3,281,
64000,Brooklyn,Williamsburg,Private room,60,17,362,
64107,Brooklyn,Crown Heights,Private room,100,3,301,
64277,Brooklyn,Bedford-Stuyvesant,Private room,70,4,189,
64314,Brooklyn,Crown Heights,Private room,110,6,0,
64365,Brooklyn,Crown Heights,Private room,60,2,287,
64707,Manhattan,Little Italy,Entire home/apt,90,14,14,
64837,Manhattan,East Village,Private room,68,2,86,
65019,Manhattan,Upper West Side,Entire home/apt,115,2,261,
65268,Brooklyn,Bedford-Stuyvesant,Private room,75,5,68,
65562,Manhattan,East Village,Entire home/apt,129,7,231,
65615,Brooklyn,Williamsburg,Entire home/apt,130,10,152,
65660,Brooklyn,Williamsburg,Entire home/apt,95,4,46,
65813,Manhattan,Harlem,Private room,75,3,364,
65834,Brooklyn,Park Slope,Entire home/apt,175,2,246,
66008,Brooklyn,Carroll Gardens,Entire home/apt,190,3,288,
66026,Brooklyn,Crown Heights,Private room,49,21,331,
66251,Manhattan,East Village,Entire home/apt,212,3,51,
66275,Manhattan,Lower East Side,Private room,95,1,364,
66451,Brooklyn,Williamsburg,Entire home/apt,140,2,254,
66718,Manhattan,Harlem,Entire home/apt,135,6,189,
66741,Brooklyn,Park Slope,Entire home/apt,150,2,263,
66974,Brooklyn,Gowanus,Entire home/apt,190,3,258,
67288,Manhattan,East Harlem,Entire home/apt,124,28,103,
67299,Brooklyn,Williamsburg,Entire home/apt,135,30,42,
67397,Manhattan,Morningside Heights,Private room,122,3,246,
68099,Manhattan,Upper West Side,Private room,109,1,364,
68305,Manhattan,Harlem,Private room,85,30,318,
68403,Brooklyn,Bedford-Stuyvesant,Entire home/apt,145,3,72,
68735,Manhattan,Upper West Side,Entire home/apt,195,11,249,
68765,Brooklyn,Carroll Gardens,Entire home/apt,250,2,272,
68900,Brooklyn,Greenpoint,Private room,125,3,325,
68974,Manhattan,Little Italy,Entire home/apt,575,2,298,
69894,Manhattan,Upper West Side,Entire home/apt,150,30,35,
69921,Brooklyn,Bushwick,Private room,70,5,203,
70095,Manhattan,Inwood,Private room,90,2,132,
70128,Manhattan,East Village,Private room,65,3,5,
70609,Manhattan,East Village,Entire home/apt,500,2,297,
71010,Manhattan,Washington Heights,Entire home/apt,250,3,276,
71248,Manhattan,Chinatown,Entire home/apt,125,25,102,
71366,Manhattan,West Village,Entire home/apt,200,30,251,
71384,Brooklyn,Greenpoint,Entire home/apt,229,1,188,
71812,Bronx,Kingsbridge,Entire home/apt,90,30,346,
72190,Manhattan,Upper West Side,Entire home/apt,110,13,0,
72265,Brooklyn,Greenpoint,Private room,59,3,15,
74073,Brooklyn,Williamsburg,Entire home/apt,195,4,71,
74240,Brooklyn,Williamsburg,Entire home/apt,169,1,215,
74333,Manhattan,East Harlem,Entire home/apt,113,14,253,
74404,Manhattan,Harlem,Entire home/apt,250,14,78,
74680,Queens,Astoria,Entire home/apt,115,2,257,
74860,Brooklyn,Greenpoint,Private room,55,2,0,
75193,Brooklyn,Williamsburg,Private room,69,2,8,
75635,Manhattan,Lower East Side,Entire home/apt,150,3,191,
76761,Brooklyn,South Slope,Entire home/apt,169,2,182,
77765,Brooklyn,Greenpoint,Private room,179,3,79,
77936,Manhattan,Hell's Kitchen,Private room,150,3,49,
78919,Brooklyn,Boerum Hill,Entire home/apt,135,4,0,
79067,Brooklyn,Clinton Hill,Entire home/apt,350,6,156,
79782,Brooklyn,Williamsburg,Private room,120,14,343,
80493,Manhattan,East Village,Private room,71,2,200,
80684,Brooklyn,Greenpoint,Private room,349,3,60,
80700,Brooklyn,Greenpoint,Private room,349,3,60,
80924,Brooklyn,Park Slope,Entire home/apt,165,30,189,
81739,Brooklyn,Greenpoint,Private room,249,3,60,
82549,Brooklyn,Brooklyn Heights,Private room,100,3,0,
82550,Brooklyn,Brooklyn Heights,Entire home/apt,200,3,106,
82638,Manhattan,East Village,Entire home/apt,169,4,276,
82928,Brooklyn,Bedford-Stuyvesant,Entire home/apt,185,3,248,
83243,Brooklyn,Bushwick,Entire home/apt,65,2,194,
83446,Brooklyn,Fort Greene,Entire home/apt,130,35,135,
83722,Brooklyn,Williamsburg,Entire home/apt,199,30,30,
83847,Manhattan,East Village,Entire home/apt,225,2,0,
84010,Brooklyn,Greenpoint,Private room,179,3,81,
84059,Brooklyn,Crown Heights,Entire home/apt,150,5,0,
84659,Manhattan,East Village,Entire home/apt,139,1,142,
84905,Manhattan,Two Bridges,Private room,95,3,60,
85094,Brooklyn,Crown Heights,Entire home/apt,79,15,179,
86215,Manhattan,Lower East Side,Entire home/apt,150,2,52,
89621,Brooklyn,Bedford-Stuyvesant,Entire home/apt,90,3,324,
93313,Brooklyn,Bedford-Stuyvesant,Entire home/apt,120,2,237,
94035,Queens,Astoria,Private room,80,1,365,
94477,Brooklyn,Bedford-Stuyvesant,Entire home/apt,175,2,204,
94783,Brooklyn,Crown Heights,Entire home/apt,120,5,272,
95747,Brooklyn,Williamsburg,Entire home/apt,140,7,0,
95883,Brooklyn,Bedford-Stuyvesant,Entire home/apt,200,5,9,
96471,Brooklyn,Clinton Hill,Private room,165,4,365,
98330,Manhattan,Kips Bay,Entire home/apt,125,4,181,
98663,Manhattan,Chelsea,Entire home/apt,130,30,189,
99070,Manhattan,East Harlem,Shared room,65,7,0,
99085,Brooklyn,Fort Greene,Entire home/apt,123,30,189,
100002,Manhattan,Washington Heights,Private room,67,2,296,
100186,Brooklyn,Gowanus,Entire home/apt,130,7,35,
101053,Brooklyn,Williamsburg,Private room,100,3,0,
102995,Manhattan,Upper West Side,Entire home/apt,212,21,35,
103161,Brooklyn,Williamsburg,Entire home/apt,190,3,359,
103311,Brooklyn,Greenpoint,Private room,599,3,60,
103806,Manhattan,East Village,Entire home/apt,249,5,365,
105469,Queens,Rockaway Beach,Private room,70,27,335,
105510,Brooklyn,Crown Heights,Entire home/apt,100,30,282,
106363,Manhattan,Harlem,Private room,60,3,247,
106647,Brooklyn,Bedford-Stuyvesant,Entire home/apt,135,2,102,
107630,Brooklyn,Greenpoint,Entire home/apt,175,3,274,
107895,Manhattan,Upper West Side,Entire home/apt,120,5,201,
110739,Manhattan,Midtown,Entire home/apt,169,18,98,
112100,Brooklyn,Crown Heights,Entire home/apt,165,7,157,
112304,Manhattan,Harlem,Private room,90,1,0,
112359,Manhattan,Upper East Side,Entire home/apt,225,2,312,
112435,Brooklyn,Fort Greene,Private room,95,2,331,
113265,Brooklyn,Crown Heights,Private room,55,2,275,
113945,Manhattan,Hell's Kitchen,Private room,85,10,174,
114123,Brooklyn,South Slope,Entire home/apt,199,14,223,
114229,Manhattan,Lower East Side,Entire home/apt,211,1,361,
114969,Manhattan,Midtown,Entire home/apt,145,6,0,
115535,Manhattan,Harlem,Private room,65,14,283,
115678,Manhattan,Harlem,Entire home/apt,99,1,220,
115748,Queens,Astoria,Entire home/apt,110,4,363,
116940,Brooklyn,Crown Heights,Entire home/apt,80,3,315,
117425,Brooklyn,Brooklyn Heights,Entire home/apt,150,30,281,
118061,Brooklyn,Bedford-Stuyvesant,Entire home/apt,110,4,283,
118430,Manhattan,Chelsea,Private room,290,2,20,
120362,Brooklyn,Williamsburg,Entire home/apt,190,4,331,
121687,Brooklyn,Williamsburg,Entire home/apt,200,2,36,
121861,Brooklyn,Park Slope,Entire home/apt,165,2,7,
123784,Manhattan,Harlem,Entire home/apt,110,2,301,
125053,Manhattan,East Village,Entire home/apt,395,2,170,
125163,Brooklyn,Bedford-Stuyvesant,Private room,99,2,307,
125594,Brooklyn,Kensington,Private room,39,1,365,
126443,Manhattan,East Village,Entire home/apt,189,2,201,
126816,Manhattan,Upper West Side,Private room,85,1,0,
127387,Brooklyn,Gowanus,Entire home/apt,260,30,316,
128975,Manhattan,Harlem,Entire home/apt,122,1,271,
131154,Brooklyn,Greenpoint,Entire home/apt,165,2,139,
132516,Queens,Forest Hills,Entire home/apt,97,3,209,
132570,Manhattan,West Village,Entire home/apt,170,4,0,
132695,Brooklyn,Williamsburg,Entire home/apt,125,2,0,
133025,Manhattan,Murray Hill,Private room,130,4,193,
134934,Brooklyn,Williamsburg,Entire home/apt,225,10,52,
135393,Brooklyn,East Flatbush,Private room,50,2,136,
135465,Brooklyn,Fort Greene,Entire home/apt,170,3,286,
135706,Manhattan,Chelsea,Entire home/apt,132,4,0,
136493,Brooklyn,Park Slope,Entire home/apt,250,7,18,
138216,Brooklyn,Greenpoint,Entire home/apt,141,5,9,
139624,Brooklyn,Crown Heights,Entire home/apt,64,20,3,
140133,Brooklyn,Williamsburg,Entire home/apt,249,3,277,
140425,Brooklyn,Crown Heights,Private room,79,2,0,
140973,Manhattan,East Village,Entire home/apt,185,2,233,
141154,Brooklyn,Boerum Hill,Entire home/apt,120,3,221,
141335,Brooklyn,Park Slope,Entire home/apt,495,1,355,
141890,Manhattan,Nolita,Entire home/apt,375,3,0,
141984,Manhattan,Nolita,Entire home/apt,175,3,277,
142069,Manhattan,East Village,Entire home/apt,150,4,0,
144087,Manhattan,Harlem,Entire home/apt,259,8,343,
144148,Manhattan,East Village,Private room,96,1,0,
145064,Brooklyn,Williamsburg,Entire home/apt,145,7,0,
145994,Manhattan,Upper West Side,Entire home/apt,95,5,0,
146754,Brooklyn,Windsor Terrace,Entire home/apt,250,4,188,
147586,Manhattan,Harlem,Entire home/apt,295,2,264,
148201,Manhattan,Greenwich Village,Entire home/apt,175,3,0,
148259,Brooklyn,Williamsburg,Entire home/apt,451,2,331,
148825,Manhattan,Upper West Side,Entire home/apt,165,2,236,
149777,Bronx,Woodlawn,Entire home/apt,77,1,309,
150804,Manhattan,Lower East Side,Entire home/apt,250,4,0,
151199,Queens,Astoria,Entire home/apt,129,1,245,
151478,Brooklyn,Williamsburg,Private room,98,2,0,
152078,Manhattan,East Village,Private room,95,7,359,
152259,Manhattan,Harlem,Private room,55,3,333,
152263,Manhattan,Harlem,Entire home/apt,300,2,258,
152520,Queens,Sunnyside,Private room,42,40,236,
153405,Brooklyn,Greenpoint,Entire home/apt,125,2,22,
153780,Manhattan,East Village,Private room,175,3,236,
154934,Manhattan,Harlem,Private room,75,3,365,
155296,Brooklyn,Williamsburg,Entire home/apt,255,45,89,
157673,Brooklyn,Bedford-Stuyvesant,Entire home/apt,72,31,164,
158061,Brooklyn,Bedford-Stuyvesant,Private room,165,1,311,
158176,Brooklyn,Williamsburg,Entire home/apt,165,5,23,
158290,Brooklyn,Clinton Hill,Private room,75,3,365,
158913,Brooklyn,Greenpoint,Entire home/apt,130,5,0,
158955,Brooklyn,Williamsburg,Entire home/apt,139,2,222,
159749,Brooklyn,Bedford-Stuyvesant,Private room,88,1,238,
159815,Brooklyn,Bedford-Stuyvesant,Private room,80,1,218,
159913,Manhattan,Chelsea,Private room,150,2,0,
160609,Manhattan,Upper West Side,Entire home/apt,200,3,0,
160994,Manhattan,East Village,Entire home/apt,200,2,235,
161366,Queens,Sunnyside,Private room,42,40,246,
161394,Brooklyn,Williamsburg,Private room,90,6,0,
161996,Manhattan,Harlem,Entire home/apt,295,3,247,
162493,Brooklyn,Williamsburg,Entire home/apt,450,5,15,
162508,Brooklyn,Crown Heights,Entire home/apt,130,2,119,
163627,Brooklyn,Williamsburg,Private room,89,3,0,
163809,Manhattan,Harlem,Entire home/apt,198,5,234,
163814,Manhattan,East Village,Entire home/apt,99,2,257,
163836,Brooklyn,Greenpoint,Private room,46,4,350,
164989,Manhattan,SoHo,Private room,140,2,221,
165080,Brooklyn,Carroll Gardens,Entire home/apt,500,7,0,
165461,Manhattan,Morningside Heights,Private room,75,5,201,
165824,Queens,Sunnyside,Private room,33,44,161,
166006,Manhattan,Upper West Side,Entire home/apt,250,31,259,
166172,Brooklyn,Bushwick,Private room,60,3,0,
166541,Manhattan,Washington Heights,Private room,75,2,222,
166983,Brooklyn,Carroll Gardens,Entire home/apt,350,5,0,
167013,Manhattan,Chelsea,Entire home/apt,205,9,76,
167017,Brooklyn,Park Slope,Entire home/apt,219,5,0,
167222,Brooklyn,Park Slope,Private room,60,1,258,
167482,Manhattan,Upper West Side,Entire home/apt,185,2,14,
168084,Manhattan,East Village,Entire home/apt,190,3,27,
168123,Brooklyn,South Slope,Entire home/apt,105,28,167,
168546,Manhattan,East Harlem,Entire home/apt,250,2,68,
168810,Manhattan,Upper West Side,Entire home/apt,175,65,358,
169002,Manhattan,Harlem,Private room,65,2,59,
169152,Brooklyn,Bedford-Stuyvesant,Entire home/apt,75,2,0,
169306,Bronx,University Heights,Private room,37,4,232,
169464,Brooklyn,Williamsburg,Entire home/apt,85,2,15,
170420,Manhattan,East Harlem,Entire home/apt,79,2,0,
170761,Brooklyn,Fort Greene,Private room,85,2,161,
